tripduration,day,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
839,1/1/16,1/1/16 0:09,1/1/16 0:23,532,S 5 Pl & S 4 St,40.710451,-73.960876,401,Allen St & Rivington St,40.72019576,-73.98997825,17109,Customer,,0
686,1/1/16,1/1/16 0:21,1/1/16 0:32,3143,5 Ave & E 78 St,40.77682863,-73.96388769,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,23514,Subscriber,1960,1
315,1/1/16,1/1/16 0:33,1/1/16 0:38,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,14536,Subscriber,1971,1
739,1/1/16,1/1/16 0:40,1/1/16 0:53,223,W 13 St & 7 Ave,40.73781509,-73.99994661,276,Duane St & Greenwich St,40.71748752,-74.0104554,24062,Subscriber,1969,1
1253,1/1/16,1/1/16 0:44,1/1/16 1:05,484,W 44 St & 5 Ave,40.75500254,-73.98014437,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,16380,Customer,,0
525,1/1/16,1/1/16 0:47,1/1/16 0:55,474,5 Ave & E 29 St,40.7451677,-73.98683077,470,W 20 St & 8 Ave,40.74345335,-74.00004031,22823,Subscriber,1975,2
659,1/1/16,1/1/16 0:55,1/1/16 1:06,387,Centre St & Chambers St,40.71273266,-74.0046073,377,6 Ave & Canal St,40.72243797,-74.00566443,18602,Subscriber,1991,1
464,1/1/16,1/1/16 1:25,1/1/16 1:33,223,W 13 St & 7 Ave,40.73781509,-73.99994661,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,22873,Subscriber,1962,1
206,1/1/16,1/1/16 1:37,1/1/16 1:40,3071,Boerum St & Broadway,40.70538077,-73.94976519,3072,Leonard St & Boerum St,40.70583339,-73.94644578,23959,Subscriber,1999,2
425,1/1/16,1/1/16 1:58,1/1/16 2:05,379,W 31 St & 7 Ave,40.749156,-73.9916,476,E 31 St & 3 Ave,40.74394314,-73.97966069,23386,Customer,,0
