Academic Units,Section Status,Section Listings,Course,Title,Meeting Patterns,Building/Room,Campus Locations,Instructor(s)/Teaching Assistant,Credit Hour,Enrollment Count,Section Capacity,Reserved Capacity,Reserved Seats,Waitlist Count,Academic Period,Start Date,End Date,Instructional Format,Delivery Mode,Public Notes,Clustered Course Sections,Academic Level,Grading Bases,Academic Period.1,Course Definition,Reference ID,Level,Program,Suffix
Engineering Management Program,Open,EM 275-A - Project Management,EM275-A,Project Management,Wednesday | 9:00 AM - 11:50 AM,McLean 211,Hoboken - Main Campus,22,3,38,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,EM 275 - Project Management,COURSE_SECTION_DEFINITION-1-2022S_EM_275_A,UG,EM,A
Engineering Management Program,Open,EM 322-A - Engineering Design VI,EM322-A,Engineering Design VI,"Monday | 12:00 PM - 1:50 PM

Wednesday | 2:00 PM - 2:50 PM","Gateway South 021

McLean 211",Hoboken - Main Campus,34,2,26,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Combination,In-Person,,,Undergraduate,Graded,2022 Spring Semester,EM 322 - Engineering Design VI,COURSE_SECTION_DEFINITION-1-2022S_EM_322_A,UG,EM,A
Engineering Management Program,Open,EM 385-A - Innovative Systems Design,EM385-A,Innovative Systems Design,Tuesday/Thursday | 9:30 AM - 10:45 AM,Peirce 120,Hoboken - Main Campus,88,3,27,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,EM 385 - Innovative System Design,COURSE_SECTION_DEFINITION-1-2022S_EM_385_A,UG,EM,A
Engineering Management Program,Open,EM 424-A - Engineering Design VIII,EM424-A,Engineering Design VIII,Tuesday/Thursday | 2:30 PM - 4:20 PM,Babbio 321,Hoboken - Main Campus,88,3,17,20,0,,0,2022 Spring Semester,1/18/22,5/18/22,Combination,In-Person,,,Undergraduate,Graded,2022 Spring Semester,EM 424 - Engineering Design VIII,COURSE_SECTION_DEFINITION-1-2022S_EM_424_A,UG,EM,A
Engineering Management Program,Open,EM 480-A - Managing Development Enterprise,EM480-A,Managing Development Enterprise,Tuesday/Thursday | 12:30 PM - 1:45 PM,Babbio 202,Hoboken - Main Campus,14,3,17,18,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,EM 480 - Managing Development Enterprise,COURSE_SECTION_DEFINITION-1-2022S_EM_480_A,UG,EM,A
"Engineering Management Program

Pharmaceutical Manufacturing Program",Open,EM 600-WN - Eng. Economics & Cost Analysis,EM600-WN,Engineering Economics and Cost Analysis,Tuesday | 6:30 PM - 8:00 PM,,,14,3,17,30,0,,0,2022 Spring Semester,1/24/22,4/29/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,EM 600/ PME 600 - Eng. Economics & Cost Analysis,COURSE_SECTION_DEFINITION-1-2022S_EM_600_WN,G,EM,WN
Engineering Management Program,Open,EM 605-A - Elements of Operations Research,EM605-A,Elements of Operations Research,Wednesday | 12:30 PM - 3:00 PM,Babbio 319,Hoboken - Main Campus,35,3,37,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,EM 605 - Elements of Operations Research,COURSE_SECTION_DEFINITION-1-2022S_EM_605_A,G,EM,A
Engineering Management Program,Open,EM 605-WS - Elements of Operations Research,EM605-WS,Elements of Operations Research,,,,4,3,27,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,EM 605 - Elements of Operations Research,COURSE_SECTION_DEFINITION-1-2022S_EM_605_WS,G,EM,WS
"Engineering Management Program

Integrated Product Development Program

Mechanical Engineering Program",Open,EM 612---MEA - Project Mgmt. & Org. Design,EM612---MEA,Project Management of Complex Systems,,,,14,3,15,30,0,,0,2022 Spring Semester,1/21/22,4/30/22,Lecture,In-Person,,,Graduate,Credit/Non Credit,2022 Spring Semester,EM 612/ IPD 612/ ME 636 - Project Mgmt. & Org. Design,COURSE_SECTION_DEFINITION-1-2022S_EM_612_--MEA,CORP,EM,MEA
"Engineering Management Program

Integrated Product Development Program

Mechanical Engineering Program",Open,EM 612---MEB - Project Mgmt. & Org. Design,EM612---MEB,Project Management of Complex Systems,,,,6,3,10,30,0,,0,2022 Spring Semester,4/15/22,7/23/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,EM 612/ IPD 612/ ME 636 - Project Mgmt. & Org. Design,COURSE_SECTION_DEFINITION-1-2022S_EM_612_--MEB,CORP,EM,MEB
